date	Temperatures	SRWtrend	IRWtrend
1659	8.9	9.10589413176495	9.249321770992704
1660	9.1	9.092347073929009	9.21690855945271
1661	9.800000000000001	9.077377628250439	9.184495347912714
1662	9.5	9.060634220243003	9.151251339496916
1663	8.6	9.041853726212659	9.116483090497962
1664	9.300000000000001	9.021468385193943	9.081101031152798
1665	8.300000000000001	8.999991729413953	9.046114906418087
1666	9.9	8.977282085817135	9.010892115257235
1667	8.5	8.953672123399269	8.975934375793575
1668	9.5	8.928660674463666	8.939708886772905
1669	9	8.902980767834521	8.903684357309075
1670	9	8.876474807129307	8.867141793769699
1671	9.1	8.849759967125312	8.831260472482667
1672	8.800000000000001	8.823279844810864	8.796783080532705
1673	8.4	8.797558700995019	8.764652962799083
1674	8.1	8.773319804284657	8.736292952393372
1675	7.9	8.751160950335306	8.712811168497277
1676	8.800000000000001	8.731317358774037	8.694440162355837
1677	8.800000000000001	8.713566355471668	8.680327009400742
1678	8.4	8.697178410911594	8.66843623955887
1679	8.800000000000001	8.681907253905928	8.657944934056836
1680	8.9	8.667571357339002	8.648186624091252
1681	8.699999999999999	8.653662851532337	8.637712441018415
1682	9	8.639935878901902	8.625729708946999
1683	8.5	8.626321989619147	8.611876568781428
1684	8	8.612690818596331	8.595641649059511
1685	9.199999999999999	8.599248165147749	8.577331865131235
1686	10.2	8.585907072955088	8.556545820895325
1687	9	8.572033313737412	8.531601003495023
1688	7.9	8.557873613817847	8.503007056560595
1689	8.6	8.544992305786366	8.474446769134024
1690	8.9	8.534630828607874	8.4487669444775
1691	8.199999999999999	8.527200561492089	8.426823205714987
1692	7.7	8.523506450031119	8.410483425738191
1693	8.5	8.52472659299286	8.402534906055172
1694	7.7	8.531589223942401	8.404682240412287
1695	7.3	8.544213039554171	8.417200019724763
1696	8.5	8.563135168732785	8.441427508311085
1697	8.1	8.588138054386123	8.476899781428221
1698	7.7	8.618217604623853	8.521318914983373
1699	8.800000000000001	8.652940562256726	8.573841443100713
1700	8.6	8.691461130751012	8.632647222747048
1701	8.699999999999999	8.732285909158623	8.694401313388605
1702	9.300000000000001	8.774520023832739	8.757275855949608
1703	9.1	8.817119343526452	8.819092901964352
1704	9.1	8.859051710082506	8.877725308683152
1705	8.699999999999999	8.899813110494327	8.932331301625144
1706	9.800000000000001	8.938919103280943	8.982095594415105
1707	9.4	8.97597309159497	9.026402285088333
1708	9.699999999999999	9.010244743379854	9.063824352912421
1709	8.699999999999999	9.041924500515366	9.095162779039351
1710	9.5	9.071191419648425	9.121142647443476
1711	9.4	9.098685082349208	9.143565035636776
1712	9.1	9.124362093612488	9.162541059368744
1713	8.6	9.148747567805108	9.179557017150502
1714	9.4	9.172450249919109	9.196262667758043
1715	9.4	9.195905126690979	9.213856417074091
1716	8.4	9.219010397489834	9.232233042528955
1717	9	9.242144593852931	9.252460001122065
1718	9.300000000000001	9.265780888177694	9.275804251108857
1719	9.5	9.289486662599087	9.301329884921223
1720	9.1	9.312974504360204	9.328486514643272
1721	8.9	9.336101840720097	9.357078918024554
1722	9.4	9.358914356843599	9.387353660685553
1723	9.800000000000001	9.38114280266667	9.418775938235518
1724	9.300000000000001	9.402178507236483	9.449993574849548
1725	8.699999999999999	9.421646619719391	9.480226645676307
1726	9.4	9.439552750913597	9.509587101273588
1727	10	9.455587623067288	9.537377995905002
1728	9.5	9.468754683821073	9.561226163430577
1729	9.300000000000001	9.478330035926746	9.579427483618829
1730	10.1	9.484113961121212	9.591513101443233
1731	9.9	9.485644322996132	9.596325131614746
1732	9.699999999999999	9.482226212044184	9.592121202586936
1733	10.5	9.473813043971951	9.578709216941208
1734	9.800000000000001	9.460431835816291	9.556025362088736
1735	9.6	9.442083598728519	9.523912227822441
1736	10.3	9.419639152853275	9.484286263627041
1737	9.9	9.39378479353296	9.438559820783615
1738	9.800000000000001	9.3651724653727	9.388045020970763
1739	9.199999999999999	9.335229264518691	9.335910783425033
1740	6.9	9.305459110779074	9.285459159432753
1741	9.300000000000001	9.277562763703475	9.240425159529801
1742	8.4	9.252921632919357	9.203728675677374
1743	9.800000000000001	9.230625058981797	9.172771405660052
1744	8.800000000000001	9.210942583997584	9.147923505843595
1745	8.800000000000001	9.193312213660475	9.127565944725792
1746	8.699999999999999	9.178160000000258	9.112519931982934
1747	9.800000000000001	9.165259901529563	9.102027992922224
1748	8.800000000000001	9.154211205536257	9.094961017578342
1749	9.5	9.144341946135446	9.08959290587153
1750	9.699999999999999	9.135847538767052	9.086344032508052
1751	8.5	9.128285826903516	9.084101243730988
1752	9.199999999999999	9.12174404158135	9.083075697600401
1753	9.1	9.116711987157078	9.08444878391391
1754	8.9	9.112804272593984	9.087281535477537
1755	8.6	9.110020388029913	9.091604803555009
1756	8.800000000000001	9.108317182802029	9.097345647959015
1757	9	9.107458445733027	9.103965448899119
1758	9	9.106809864619025	9.109977417406416
1759	10	9.10567329742373	9.11377113326809
1760	9.800000000000001	9.103384407915415	9.113843227257812
1761	10	9.099212274638395	9.108555038406898
1762	9.6	9.093346383624969	9.09851084232289
1763	8.9	9.086230297111507	9.084899319841719
1764	8.699999999999999	9.078862110781561	9.070218995368935
1765	8.6	9.072316528808592	9.057105266092453
1766	8.699999999999999	9.067252974155933	9.047158702168709
1767	8.699999999999999	9.064057206256498	9.041317388113399
1768	8.9	9.062842855815672	9.03986875082783
1769	8.800000000000001	9.063600711465309	9.042813252946026
1770	8.5	9.066152083083727	9.049747199789437
1771	8.6	9.07034524231246	9.060334900701504
1772	9.199999999999999	9.075858913908826	9.073824760686117
