date	diffSRWtrend	diffIRWtrend
1660	-0.01354705783594135	-0.03241321153999444
1661	-0.01496944567857028	-0.03241321153999621
1662	-0.01674340800743579	-0.03324400841579767
1663	-0.01878049403034332	-0.03476824899895448
1664	-0.02038534101871647	-0.0353820593451637
1665	-0.02147665577999014	-0.03498612473471141
1666	-0.02270964359681749	-0.03522279116085159
1667	-0.02360996241786673	-0.03495773946366043
1668	-0.02501144893560259	-0.03622548902066924
1669	-0.02567990662914532	-0.03602452946383039
1670	-0.02650596070521338	-0.03654256353937591
1671	-0.02671484000399538	-0.03588132128703236
1672	-0.02648012231444774	-0.03447739194996124
1673	-0.02572114381584534	-0.0321301177336224
1674	-0.0242388967103615	-0.02836001040571112
1675	-0.02215885394935135	-0.02348178389609501
1676	-0.01984359156126914	-0.01837100614143949
1677	-0.01775100330236867	-0.01411315295509574
1678	-0.01638794456007453	-0.01189076984187132
1679	-0.01527115700566561	-0.01049130550203436
1680	-0.01433589656692646	-0.009758309965583578
1681	-0.01390850580666481	-0.01047418307283721
1682	-0.01372697263043499	-0.01198273207141654
1683	-0.01361388928275531	-0.01385314016557082
1684	-0.01363117102281564	-0.01623491972191715
1685	-0.01344265344858186	-0.01830978392827554
1686	-0.01334109219266111	-0.02078604423591024
1687	-0.01387375921767564	-0.02494481740030174
1688	-0.01415969991956523	-0.02859394693442852
1689	-0.01288130803148135	-0.02856028742657024
1690	-0.0103614771784919	-0.02567982465652463
1691	-0.007430267115784872	-0.02194373876251277
1692	-0.003694111460969651	-0.01633977997679636
1693	0.001220142961740223	-0.007948519683019128
1694	0.006862630949541426	0.002147334357115227
1695	0.01262381561176973	0.01251777931247666
1696	0.01892212917861436	0.0242274885863214
1697	0.02500288565333797	0.03547227311713641
1698	0.03007955023772979	0.04441913355515226
1699	0.03472295763287292	0.05252252811733982
1700	0.03852056849428642	0.0588057796463346
1701	0.04082477840761101	0.06175409064155701
1702	0.04223411467411609	0.06287454256100311
1703	0.04259931969371245	0.06181704601474358
1704	0.04193236655605403	0.05863240671880021
1705	0.04076140041182086	0.0546059929419922
1706	0.03910599278661664	0.04976429278996086
1707	0.0370539883140264	0.04430669067322768
1708	0.03427165178488423	0.03742206782408886
1709	0.03167975713551208	0.03133842612692916
1710	0.02926691913305923	0.02597986840412503
1711	0.02749366270078291	0.02242238819330034
1712	0.02567701126328004	0.01897602373196783
1713	0.02438547419261994	0.01701595778175857
1714	0.02370268211400095	0.01670565060754114
1715	0.0234548767718703	0.01759374931604718
1716	0.0231052707988546	0.01837662545486474
1717	0.0231341963630971	0.02022695859310986
1718	0.02363629432476344	0.02334424998679197
1719	0.02370577442139243	0.02552563381236617
1720	0.02348784176111707	0.02715662972204846
1721	0.02312733635989339	0.02859240338128188
1722	0.02281251612350133	0.03027474266099972
1723	0.02222844582307104	0.03142227754996441
1724	0.02103570456981352	0.03121763661403065
1725	0.01946811248290814	0.03023307082675863
1726	0.0179061311942057	0.02936045559728129
1727	0.01603487215369093	0.02779089463141382
1728	0.01316706075378526	0.02384816752557484
1729	0.009575352105672508	0.01820132018825227
1730	0.005783925194466022	0.01208561782440398
1731	0.001530361874920061	0.00481203017151266
1732	-0.003418110951947995	-0.00420392902780975
1733	-0.00841316807223258	-0.01341198564572821
1734	-0.01338120815566057	-0.02268385485247215
1735	-0.01834823708777122	-0.03211313426629481
1736	-0.02244444587524441	-0.03962596419539999
1737	-0.02585435932031466	-0.04572644284342609
1738	-0.0286123281602606	-0.05051479981285212
1739	-0.02994320085400837	-0.05213423754572943
1740	-0.02977015373961756	-0.05045162399228076
1741	-0.02789634707559863	-0.04503399990295165
1742	-0.02464113078411856	-0.03669648385242752
1743	-0.02229657393755957	-0.03095727001732129
1744	-0.01968247498421327	-0.02484789981645719
1745	-0.01763037033710901	-0.02035756111780351
1746	-0.01515221366021713	-0.01504601274285733
1747	-0.01290009847069484	-0.01049193906071011
1748	-0.01104869599330627	-0.00706697534388212
1749	-0.009869259400810293	-0.005368111706811618
1750	-0.008494407368393908	-0.003248873363478566
1751	-0.007561711863536047	-0.002242788777063964
1752	-0.00654178532216676	-0.001025546130586363
1753	-0.005032054424271237	0.001373086313508409
1754	-0.0039077145630948	0.002832751563627056
1755	-0.00278388456407086	0.00432326807747252
1756	-0.001703205227883586	0.005740844404005685
1757	-0.0008587370690023022	0.00661980094010417
1758	-0.0006485811140013453	0.006011968507296572
1759	-0.001136567195295868	0.003793715861673874
1760	-0.002288889508314185	7.209398972207737e-05
1761	-0.004172133277020151	-0.005288188850913755
1762	-0.005865891013426605	-0.01004419608400831
1763	-0.007116086513461184	-0.01361152248117037
1764	-0.007368186329946624	-0.01468032447278489
1765	-0.006545581972968506	-0.01311372927648158
1766	-0.005063554652659619	-0.009946563923744378
1767	-0.003195767899434543	-0.005841314055309965
1768	-0.00121435044082574	-0.001448637285568211
1769	0.0007578556496365962	0.002944502118195302
1770	0.00255137161841823	0.006933946843410865
1771	0.004193159228732313	0.01058770091206718
1772	0.005513671596366621	0.01348985998461316
1773	0.006087220978182373	0.01461735077017501
1774	0.005718635760860735	0.01352563692852726
1775	0.004748848768102221	0.01106087252139609
1776	0.003326055769282021	0.007577464694414004
1777	0.001345661240538476	0.002822088966535574
1778	-0.000216779944233636	-0.0008514444840397317
1779	-0.001946423830171184	-0.004897983865468802
1780	-0.00381171619243581	-0.009225460752450232
1781	-0.005729310103042451	-0.01361706654527239
1782	-0.006469861199262184	-0.01510996096568107
1783	-0.006646448585007292	-0.01524390759939287
1784	-0.005157439360175431	-0.01137865232903579
1785	-0.003584876476741883	-0.007396177273948368
1786	-0.001178349082787022	-0.001456979829963956
1787	0.0007197933416360769	0.003173862616492329
1788	0.00226488450631912	0.006919392033761795
1789	0.002833701246702347	0.008296224929434715
1790	0.003073211880357363	0.008904557832000393
1791	0.003007356717404264	0.00878881762352357
1792	0.002404677775608377	0.007388263756153535
1793	0.00166487292269224	0.005677608530108458
1794	0.0008498200213544749	0.003790368522459175
1795	-3.235303644899545e-05	0.001734393039749094
1796	-0.001026762342373644	-0.00060589165733127
1797	-0.001337975713916251	-0.001326554831550197
