YEARS	GTA	TRF	AMO
1998-06-01	0.536	1.9242133	0.279
1999-06-01	0.307	2.0332219	0.015
2000-06-01	0.295	2.0961904	-0.127
2001-06-01	0.44	2.1279809	0.214
2002-06-01	0.496	2.1453595	0.005
2003-06-01	0.509	2.1378986	0.224
2004-06-01	0.45	2.1258179	0.187
2005-06-01	0.544	2.0837516	0.216
2006-06-01	0.505	1.9905206	0.172
2007-06-01	0.493	1.9519499	0.111
2008-06-01	0.395	1.9858937	0.019
2009-06-01	0.506	2.0752886	0.083
2010-06-01	0.559	2.1917034	0.208
2011-06-01	0.422	2.2685169	-0.044
2012-06-01	0.47	2.24092564332944	0.141
2013-06-01	0.499	2.2189283144701	0.037
2014-06-01	0.567	2.20371604785759	0.059
2015-06-01	0.746	2.19258264649934	0.229
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
 
